Version,Platform,Released,VirusTotal
[`9.0.0` {octicon}`link-external`](https://github.com/kdeldycke/mail-deduplicate/releases/tag/v9.0.0),[{octicon}`download` `linux-arm64`](https://github.com/kdeldycke/mail-deduplicate/releases/download/v9.0.0/mdedup-9.0.0-linux-arm64.bin),2026-07-27,[{octicon}`shield-check;1em;sd-text-success`](https://www.virustotal.com/gui/file/1d4599e152e2d75561ff931abf82fa49e28a0084942d838c28b444505d625a6b)
[`9.0.0` {octicon}`link-external`](https://github.com/kdeldycke/mail-deduplicate/releases/tag/v9.0.0),[{octicon}`download` `linux-x64`](https://github.com/kdeldycke/mail-deduplicate/releases/download/v9.0.0/mdedup-9.0.0-linux-x64.bin),2026-07-27,[{octicon}`shield-check;1em;sd-text-success`](https://www.virustotal.com/gui/file/6a2620943ce7bd6b463eb08213e8407b0a51e11a92de8aa75f5352552f92d980)
[`9.0.0` {octicon}`link-external`](https://github.com/kdeldycke/mail-deduplicate/releases/tag/v9.0.0),[{octicon}`download` `macos-arm64`](https://github.com/kdeldycke/mail-deduplicate/releases/download/v9.0.0/mdedup-9.0.0-macos-arm64.bin),2026-07-27,[{octicon}`shield-check;1em;sd-text-success`](https://www.virustotal.com/gui/file/822d9557b2bb7f7dc04f83de6995e50b8ff975d3c000e94392ffa2a6894eeece)
[`9.0.0` {octicon}`link-external`](https://github.com/kdeldycke/mail-deduplicate/releases/tag/v9.0.0),[{octicon}`download` `macos-x64`](https://github.com/kdeldycke/mail-deduplicate/releases/download/v9.0.0/mdedup-9.0.0-macos-x64.bin),2026-07-27,[{octicon}`shield-check;1em;sd-text-success`](https://www.virustotal.com/gui/file/1d782b2ba521a6aa6aaa24fad9b804d321bc421a8dc759752a670e8d6d00ebe4)
[`9.0.0` {octicon}`link-external`](https://github.com/kdeldycke/mail-deduplicate/releases/tag/v9.0.0),[{octicon}`download` `windows-arm64`](https://github.com/kdeldycke/mail-deduplicate/releases/download/v9.0.0/mdedup-9.0.0-windows-arm64.exe),2026-07-27,[{octicon}`shield;1em;sd-text-warning` 3.0%](https://www.virustotal.com/gui/file/ac93cbd490b4cdb27a4ddc55e8b7666cbdeaf728c351ea82807ca8752e684268)
[`9.0.0` {octicon}`link-external`](https://github.com/kdeldycke/mail-deduplicate/releases/tag/v9.0.0),[{octicon}`download` `windows-x64`](https://github.com/kdeldycke/mail-deduplicate/releases/download/v9.0.0/mdedup-9.0.0-windows-x64.exe),2026-07-27,[{octicon}`shield;1em;sd-text-danger` 31.7%](https://www.virustotal.com/gui/file/67153a12aef3216177a16ba0ce1726a3acc58b3e69756f9b20cf498a8ef7ebe6)
[`8.1.2` {octicon}`link-external`](https://github.com/kdeldycke/mail-deduplicate/releases/tag/v8.1.2),[{octicon}`download` `linux-arm64`](https://github.com/kdeldycke/mail-deduplicate/releases/download/v8.1.2/mdedup-linux-arm64.bin),2025-12-02,[{octicon}`shield` analysis](https://www.virustotal.com/gui/file/74a59855231e9c0de56c463763e21a0c909d94632a42819e4921242ef7355c2f)
[`8.1.2` {octicon}`link-external`](https://github.com/kdeldycke/mail-deduplicate/releases/tag/v8.1.2),[{octicon}`download` `linux-x64`](https://github.com/kdeldycke/mail-deduplicate/releases/download/v8.1.2/mdedup-linux-x64.bin),2025-12-02,[{octicon}`shield` analysis](https://www.virustotal.com/gui/file/e3307dc280e1ea6b1fdd750d708164200f409c8b9809c853b8433bb2abf1f648)
[`8.1.2` {octicon}`link-external`](https://github.com/kdeldycke/mail-deduplicate/releases/tag/v8.1.2),[{octicon}`download` `macos-arm64`](https://github.com/kdeldycke/mail-deduplicate/releases/download/v8.1.2/mdedup-macos-arm64.bin),2025-12-02,[{octicon}`shield` analysis](https://www.virustotal.com/gui/file/26c508e1831a902b2a41e8de10f03fe3446e4f1a9c36ea0a6fd63cde0b65bf0a)
[`8.1.2` {octicon}`link-external`](https://github.com/kdeldycke/mail-deduplicate/releases/tag/v8.1.2),[{octicon}`download` `macos-x64`](https://github.com/kdeldycke/mail-deduplicate/releases/download/v8.1.2/mdedup-macos-x64.bin),2025-12-02,[{octicon}`shield` analysis](https://www.virustotal.com/gui/file/c6a3412eb5fb1c4868dbec733bbb3f63ce0591cca003ed72b13eef3f05f44a69)
